"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad"
plato-playo-rosa-20cm;"PLATO PLAYO ROSA 20CM";PLATOS;;;;;;;213.21;170.57;0.10;10.00;10.00;10.00;2;607PLA6380;;SI;NO;"<p>&nbsp;</p>

<h1 class=""alteranteFont"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-size: 26px; vertical-align: baseline; background: transparent; font-family: Oswald, sans-serif; color: rgb(88, 89, 91);""><span id=""labelDescripcion"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-weight: 700; vertical-align: baseline; background: transparent;"">PLATO PLAYO ROSA 20CM</span></h1>

<p><span style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-weight: 700; vertical-align: baseline; background: transparent;"">Materia: Polipropileno apto microondas y frezeer.</span></p>
";;;;;SI;;;
compotera-brilhante-400ml-set-6pc-gnl-cisper;"COMPOTERA BRILHANTE 400ML SET 6PC GNL CISPER";"HOGAR > FRASCOS DE VIDRIO, HOGAR > ARTS.DE COCINA";;;;;;;1,067.00;853.60;0.10;10.00;10.00;10.00;5;MLTW7375;;NO;NO;"<p>&nbsp;</p>

<h1 class=""alteranteFont"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-size: 26px; vertical-align: baseline; background: transparent; font-family: Oswald, sans-serif; color: rgb(88, 89, 91);""><span id=""labelDescripcion"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-weight: 700; vertical-align: baseline; background: transparent;"">COMPOTERA BRILHANTE 400ML SET 6PC GNL CISPER</span></h1>
";;;;;SI;;;
tabla-de-ceramica-y-bamboo-logo-cheese-29x75-cm;"TABLA DE CERAMICA Y BAMBOO LOGO CHEESE 29x7,5 CM";"HOGAR > TABLAS Y BIFERAS";;;;;;;568.59;454.87;0.10;10.00;10.00;10.00;3;MS113806;;SI;NO;"<br />
TABLA DE CERAMICA Y BAMBOO LOGO CHEESE 29x7,5 CM";;;;;SI;;;
individual-plavinil-simil-marmol-con-dorado-44x-30-cm;"INDIVIDUAL PLAVINIL SIMIL MARMOL CON DORADO 44X 30 CM";"DECORACIÓN > INDIVIDUALES";;;;;;;351.51;281.21;0.10;0.10;10.00;133.00;8;"CHUIN175R MERCA SEPA";;SI;NO;"<p>INDIVIDUAL PLAVINIL SIMIL MARMOL CON DORADO 44 X 30 CM&nbsp;</p>
";;;;;SI;;;
individual-cuerinaplavinil-simil-marmol-44x30cm;"INDIVIDUAL CUERINAPLAVINIL SIMIL MARMOL 44X30CM";"DECORACIÓN > INDIVIDUALES, NOVEDADES";;;;;;;351.51;281.21;0.10;10.00;10.00;10.00;0;"CHUIN177R MERCA SEPA";;NO;NO;"<p>INDIVIDUAL CUERINAPLAVINIL SIMIL MARMOL&nbsp; 44X30CM</p>
";;;;;SI;;;
tabla-picar-rect-blanca-27x20cm;"TABLA PICAR RECT BLANCA 27X20CM";"HOGAR > TABLAS Y BIFERAS";;;;;;;805.96;569.70;0.10;10.00;10.00;10.00;2;0607PLA0009;;SI;NO;"<p>&nbsp;</p>

<h1 class=""alteranteFont"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-size: 26px; vertical-align: baseline; background: transparent; font-family: Oswald, sans-serif; color: rgb(88, 89, 91);""><span id=""labelDescripcion"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-weight: 700; vertical-align: baseline; background: transparent;"">TABLA PICAR RECT BLANCA 27X20CM</span></h1>
";;;;;SI;;;
individual-siingapur-dorado-claro-38-cm;"INDIVIDUAL SIINGAPUR DORADO CLARO 38 CM";"DECORACIÓN > INDIVIDUALES, NOVEDADES";;;;;;;604.23;483.38;0.10;10.00;10.00;10.00;8;"MS504001 MERCA SEPA";;SI;NO;"<h1>INDIVIDUAL SIINGAPUR DORADO CLARO 38 CM</h1>

<p>MATERIAL: NYLON</p>
";;;;;SI;;;
individual-pvc-redondo-calado-blanco-38cm;"INDIVIDUAL PVC REDONDO CALADO BLANCO 38CM";"DECORACIÓN > INDIVIDUALES";;;;;;;604.23;483.38;0.10;10.00;10.00;10.00;6;MS115338;;SI;NO;"<p>&nbsp;</p>

<h1 class=""alteranteFont"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-size: 26px; vertical-align: baseline; background: transparent; font-family: Oswald, sans-serif; color: rgb(88, 89, 91);"">INDIVIDUAL PVC REDONDO CALADO BLANCO 38CM</h1>
";;;;;SI;;;
individual-de-pvc-dorado-redondo-mandala;"INDIVIDUAL DE PVC DORADO REDONDO MANDALA";"DECORACIÓN > INDIVIDUALES";;;;;;;604.23;483.38;0.10;10.00;10.00;10.00;6;MS115331;;SI;NO;"<p>&nbsp;</p>

<h1 class=""alteranteFont"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-size: 26px; vertical-align: baseline; background: transparent; font-family: Oswald, sans-serif; color: rgb(88, 89, 91);""><span id=""labelDescripcion"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-weight: 700; vertical-align: baseline; background: transparent;"">INDIVIDUAL DE PVC DORADO REDONDO MANDALA</span></h1>
";;;;;SI;;;
individual-redondo-de-polipropileno-nude-38cm;"INDIVIDUAL REDONDO DE POLIPROPILENO NUDE 38CM";"DECORACIÓN > INDIVIDUALES";;;;;;;659.19;527.35;0.10;10.00;10.00;10.00;21;"MS115312 MERC SEPA";;SI;NO;"<h1>INDIVIDUAL REDONDO DE POLIPROPILENO NUDE 38CM</h1>
";;;;;SI;;;
